[0000|0.02] bce:  0.00437 | dice:  0.74979 | iou_background:  0.30539 | iou_ring:  0.53121 | iou_boundary:  0.14619 | iou_center:  0.00000 | lr:  0.00100
[0000|0.04] bce:  0.00345 | dice:  0.75146 | iou_background:  0.40443 | iou_ring:  0.50934 | iou_boundary:  0.14430 | iou_center:  0.00000 | lr:  0.00100
[0000|0.07] bce:  0.00311 | dice:  0.71917 | iou_background:  0.49345 | iou_ring:  0.49557 | iou_boundary:  0.16852 | iou_center:  0.00000 | lr:  0.00100
[0000|0.09] bce:  0.00290 | dice:  0.68573 | iou_background:  0.48441 | iou_ring:  0.50200 | iou_boundary:  0.19342 | iou_center:  0.00000 | lr:  0.00100
[0000|0.11] bce:  0.00291 | dice:  0.67515 | iou_background:  0.50273 | iou_ring:  0.48298 | iou_boundary:  0.20135 | iou_center:  0.00000 | lr:  0.00100
[0000|0.13] bce:  0.00295 | dice:  0.66414 | iou_background:  0.50935 | iou_ring:  0.48410 | iou_boundary:  0.20858 | iou_center:  0.00000 | lr:  0.00100
[0000|0.16] bce:  0.00296 | dice:  0.64801 | iou_background:  0.49352 | iou_ring:  0.49171 | iou_boundary:  0.22095 | iou_center:  0.00000 | lr:  0.00100
[0000|0.18] bce:  0.00297 | dice:  0.63616 | iou_background:  0.50118 | iou_ring:  0.47727 | iou_boundary:  0.23039 | iou_center:  0.00000 | lr:  0.00100
[0000|0.20] bce:  0.00296 | dice:  0.62389 | iou_background:  0.50265 | iou_ring:  0.48439 | iou_boundary:  0.24006 | iou_center:  0.00000 | lr:  0.00100
[0000|0.22] bce:  0.00301 | dice:  0.61412 | iou_background:  0.48355 | iou_ring:  0.49313 | iou_boundary:  0.24790 | iou_center:  0.00000 | lr:  0.00100
[0000|0.24] bce:  0.00296 | dice:  0.60762 | iou_background:  0.46931 | iou_ring:  0.49717 | iou_boundary:  0.25347 | iou_center:  0.00000 | lr:  0.00100
[0000|0.27] bce:  0.00300 | dice:  0.59987 | iou_background:  0.46287 | iou_ring:  0.49927 | iou_boundary:  0.25971 | iou_center:  0.00000 | lr:  0.00100
[0000|0.29] bce:  0.00303 | dice:  0.59052 | iou_background:  0.45229 | iou_ring:  0.50466 | iou_boundary:  0.26751 | iou_center:  0.00000 | lr:  0.00100
[0000|0.31] bce:  0.00295 | dice:  0.58596 | iou_background:  0.46149 | iou_ring:  0.50877 | iou_boundary:  0.27139 | iou_center:  0.00000 | lr:  0.00100
[0000|0.33] bce:  0.00291 | dice:  0.57782 | iou_background:  0.46007 | iou_ring:  0.51467 | iou_boundary:  0.27815 | iou_center:  0.00000 | lr:  0.00100
[0000|0.36] bce:  0.00287 | dice:  0.57698 | iou_background:  0.46718 | iou_ring:  0.51363 | iou_boundary:  0.27865 | iou_center:  0.00000 | lr:  0.00100
[0000|0.38] bce:  0.00283 | dice:  0.57296 | iou_background:  0.46084 | iou_ring:  0.52138 | iou_boundary:  0.28203 | iou_center:  0.00000 | lr:  0.00100
[0000|0.40] bce:  0.00286 | dice:  0.56998 | iou_background:  0.46070 | iou_ring:  0.52384 | iou_boundary:  0.28461 | iou_center:  0.00000 | lr:  0.00100
[0000|0.42] bce:  0.00285 | dice:  0.56403 | iou_background:  0.45806 | iou_ring:  0.52861 | iou_boundary:  0.28946 | iou_center:  0.00000 | lr:  0.00100
[0000|0.44] bce:  0.00281 | dice:  0.56358 | iou_background:  0.45831 | iou_ring:  0.53410 | iou_boundary:  0.28978 | iou_center:  0.00000 | lr:  0.00100
[0000|0.47] bce:  0.00277 | dice:  0.56057 | iou_background:  0.45807 | iou_ring:  0.53893 | iou_boundary:  0.29249 | iou_center:  0.00000 | lr:  0.00100
[0000|0.49] bce:  0.00278 | dice:  0.55503 | iou_background:  0.45155 | iou_ring:  0.54301 | iou_boundary:  0.29712 | iou_center:  0.00000 | lr:  0.00100
[0000|0.51] bce:  0.00280 | dice:  0.55544 | iou_background:  0.44668 | iou_ring:  0.54292 | iou_boundary:  0.29682 | iou_center:  0.00000 | lr:  0.00100
[0000|0.53] bce:  0.00280 | dice:  0.54856 | iou_background:  0.44411 | iou_ring:  0.54533 | iou_boundary:  0.30316 | iou_center:  0.00000 | lr:  0.00100
[0000|0.56] bce:  0.00278 | dice:  0.54505 | iou_background:  0.44582 | iou_ring:  0.54653 | iou_boundary:  0.30613 | iou_center:  0.00000 | lr:  0.00100
[0000|0.58] bce:  0.00277 | dice:  0.54059 | iou_background:  0.44425 | iou_ring:  0.54926 | iou_boundary:  0.31003 | iou_center:  0.00000 | lr:  0.00100
[0000|0.60] bce:  0.00280 | dice:  0.53772 | iou_background:  0.44185 | iou_ring:  0.55073 | iou_boundary:  0.31281 | iou_center:  0.00000 | lr:  0.00100
[0000|0.62] bce:  0.00289 | dice:  0.53098 | iou_background:  0.42900 | iou_ring:  0.55194 | iou_boundary:  0.31922 | iou_center:  0.00000 | lr:  0.00100
[0000|0.64] bce:  0.00293 | dice:  0.52722 | iou_background:  0.42368 | iou_ring:  0.55181 | iou_boundary:  0.32262 | iou_center:  0.00000 | lr:  0.00100
[0000|0.67] bce:  0.00296 | dice:  0.52390 | iou_background:  0.41631 | iou_ring:  0.55384 | iou_boundary:  0.32564 | iou_center:  0.00000 | lr:  0.00100
[0000|0.69] bce:  0.00304 | dice:  0.52197 | iou_background:  0.40586 | iou_ring:  0.55579 | iou_boundary:  0.32716 | iou_center:  0.00000 | lr:  0.00100
[0000|0.71] bce:  0.00307 | dice:  0.51960 | iou_background:  0.40602 | iou_ring:  0.55851 | iou_boundary:  0.32927 | iou_center:  0.00000 | lr:  0.00100
[0000|0.73] bce:  0.00304 | dice:  0.51533 | iou_background:  0.40995 | iou_ring:  0.55928 | iou_boundary:  0.33312 | iou_center:  0.00000 | lr:  0.00100
[0000|0.76] bce:  0.00304 | dice:  0.51059 | iou_background:  0.41317 | iou_ring:  0.56197 | iou_boundary:  0.33758 | iou_center:  0.00000 | lr:  0.00100
[0000|0.78] bce:  0.00303 | dice:  0.50609 | iou_background:  0.41875 | iou_ring:  0.56277 | iou_boundary:  0.34168 | iou_center:  0.00000 | lr:  0.00100
[0000|0.80] bce:  0.00300 | dice:  0.50215 | iou_background:  0.42631 | iou_ring:  0.56336 | iou_boundary:  0.34539 | iou_center:  0.00000 | lr:  0.00100
[0000|0.82] bce:  0.00300 | dice:  0.49845 | iou_background:  0.42901 | iou_ring:  0.56274 | iou_boundary:  0.34874 | iou_center:  0.00000 | lr:  0.00100
[0000|0.84] bce:  0.00296 | dice:  0.49571 | iou_background:  0.43480 | iou_ring:  0.56420 | iou_boundary:  0.35114 | iou_center:  0.00000 | lr:  0.00100
[0000|0.87] bce:  0.00293 | dice:  0.49264 | iou_background:  0.44505 | iou_ring:  0.56424 | iou_boundary:  0.35400 | iou_center:  0.00000 | lr:  0.00100
[0000|0.89] bce:  0.00292 | dice:  0.49092 | iou_background:  0.43928 | iou_ring:  0.56834 | iou_boundary:  0.35562 | iou_center:  0.00000 | lr:  0.00100
[0000|0.91] bce:  0.00293 | dice:  0.48791 | iou_background:  0.43938 | iou_ring:  0.57016 | iou_boundary:  0.35861 | iou_center:  0.00000 | lr:  0.00100
[0000|0.93] bce:  0.00288 | dice:  0.48352 | iou_background:  0.44393 | iou_ring:  0.57125 | iou_boundary:  0.36295 | iou_center:  0.00000 | lr:  0.00100
[0000|0.96] bce:  0.00287 | dice:  0.48103 | iou_background:  0.44525 | iou_ring:  0.57269 | iou_boundary:  0.36522 | iou_center:  0.00000 | lr:  0.00100
[0000|0.98] bce:  0.00285 | dice:  0.47775 | iou_background:  0.44712 | iou_ring:  0.57365 | iou_boundary:  0.36849 | iou_center:  0.00000 | lr:  0.00100
[0000|1.00] bce:  0.00282 | dice:  0.47429 | iou_background:  0.44686 | iou_ring:  0.57584 | iou_boundary:  0.37187 | iou_center:  0.00000 | lr:  0.00100
[0001|0.02] bce:  0.00114 | dice:  0.34448 | iou_background:  0.36868 | iou_ring:  0.66223 | iou_boundary:  0.49706 | iou_center:  0.00000 | lr:  0.00100
[0001|0.04] bce:  0.00169 | dice:  0.33448 | iou_background:  0.51008 | iou_ring:  0.63830 | iou_boundary:  0.50632 | iou_center:  0.00000 | lr:  0.00100
[0001|0.07] bce:  0.00175 | dice:  0.33580 | iou_background:  0.55427 | iou_ring:  0.63351 | iou_boundary:  0.50455 | iou_center:  0.00000 | lr:  0.00100
[0001|0.09] bce:  0.00208 | dice:  0.32541 | iou_background:  0.55112 | iou_ring:  0.60661 | iou_boundary:  0.51599 | iou_center:  0.00000 | lr:  0.00100
[0001|0.11] bce:  0.00229 | dice:  0.32532 | iou_background:  0.54238 | iou_ring:  0.61946 | iou_boundary:  0.51583 | iou_center:  0.00000 | lr:  0.00100
[0001|0.13] bce:  0.00210 | dice:  0.32236 | iou_background:  0.55092 | iou_ring:  0.62339 | iou_boundary:  0.51855 | iou_center:  0.00000 | lr:  0.00100
[0001|0.16] bce:  0.00205 | dice:  0.32104 | iou_background:  0.53093 | iou_ring:  0.62806 | iou_boundary:  0.51979 | iou_center:  0.00000 | lr:  0.00100
[0001|0.18] bce:  0.00217 | dice:  0.32630 | iou_background:  0.55302 | iou_ring:  0.61766 | iou_boundary:  0.51451 | iou_center:  0.00000 | lr:  0.00100
[0001|0.20] bce:  0.00239 | dice:  0.32367 | iou_background:  0.51936 | iou_ring:  0.62922 | iou_boundary:  0.51813 | iou_center:  0.00000 | lr:  0.00100
[0001|0.22] bce:  0.00230 | dice:  0.32177 | iou_background:  0.54028 | iou_ring:  0.62385 | iou_boundary:  0.52001 | iou_center:  0.00000 | lr:  0.00100
[0001|0.24] bce:  0.00232 | dice:  0.32235 | iou_background:  0.55436 | iou_ring:  0.62245 | iou_boundary:  0.51964 | iou_center:  0.00000 | lr:  0.00100
[0001|0.27] bce:  0.00234 | dice:  0.32082 | iou_background:  0.55915 | iou_ring:  0.62412 | iou_boundary:  0.52118 | iou_center:  0.00000 | lr:  0.00100
[0001|0.29] bce:  0.00249 | dice:  0.31804 | iou_background:  0.53916 | iou_ring:  0.63093 | iou_boundary:  0.52420 | iou_center:  0.00000 | lr:  0.00100
[0001|0.31] bce:  0.00245 | dice:  0.32219 | iou_background:  0.54456 | iou_ring:  0.63189 | iou_boundary:  0.51968 | iou_center:  0.00000 | lr:  0.00100
